ID,LAT,LON,Location,state,tz
[VAD],30.97,83.2,Moody AFB,GA,-5
[WRB],32.63,83.6,Robins AFB,GA,-5
[RMG],34.35,85.17,Rome/Russell,GA,-5
[SAV],32.13,81.2,Savannah Mun,GA,-5
[VLD],30.78,83.28,Valdosta,GA,-5
[AYS],31.25,82.4,Waycross,GA,-5
[HNA],21.53,158.12,Barbers Pt,HI,-10
[HNA],21.53,158.12,Barbers Pt,HI,-10
[BKH],22.05,160.3,Barking San,HI,-10
[1Z6],24.45,166.47,Fr Frigate,HI,-10
[ITO],19.72,155.07,Hilo,HI,-10
[HNL],21.35,157.93,Honolulu Int,HI,-10
[OGG],20.9,156.43,Kahului Maui,HI,-10
[HNG],21.75,158.28,Kaneohe Mca,HI,-10
[HNG],21.75,158.28,Kaneohe Mca,HI,-10
[KOA],19.75,156.05,Ke-Ahole/Kon,HI,-10
[0Z5],22.38,159.67,Kilauea Pt,HI,-10
[LNY],20.8,156.95,Lanai-Lanai,HI,-10
[LIH],21.98,159.35,Lihue-Kauai,HI,-10
[JHM],20.97,156.83,Maui,HI,-10
[MKK],21.15,157.1,Molokai,HI,-10
[1Z2],20.42,156.47,Upolo Pt Ln,HI,-10
[MUE],20,156.12,Waimea-Koha,HI,-10
[BOI],43.57,116.22,Boise,ID,-7
[BYI],42.53,113.77,Burley,ID,-7
[U15],44.52,114.22,Challis,ID,-7
[COE],47.77,116.82,Coeur d'Alene,ID,-7
[P69],45.82,115.43,Elk City,ID,-7
[GNG],43,115.17,Gooding,ID,-7
[S80],45.92,116.13,Grangeville,ID,-7
[IDA],43.52,112.07,Idaho Falls,ID,-7
[LWS],46.38,117.02,Lewiston,ID,-7
[MLD],42.17,112.32,Malad City,ID,-7
[77M],42.3,113.37,Malta,ID,-7
[MYL],44.88,116.1,Mccall,ID,-7
[MUO],43.05,115.87,Mountn Home,ID,-7
[S06],47.47,115.8,Mullan,ID,-7
[PIH],42.92,112.6,Pocatello,ID,-7
[27U],45.18,113.9,Salmon,ID,-7
[SMN],45.17,114.47,Salmon,ID,-7
[U78],42.65,111.58,Soda Springs,ID,-7
[SUN],43.5,114.3,Sun Valley,ID,-7
[TWF],42.48,114.48,Twin Falls,ID,-7
[ALN],38.88,90.05,Alton,IL,-6
[ARR],41.77,88.32,Aurora,IL,-6
[CPS],38.57,90.15,Bistate Park,IL,-6
[BMI],40.48,88.93,Bloomington,IL,-6
[BDF],41.16,89.6,Bradford,IL,-6
[CTR],37.07,89.22,Cairo,IL,-6
[MDH],37.78,89.25,Carbondale,IL,-6
[ENL],38.51,89.09,Centralia,IL,-6
[CMI],40.03,88.28,Champaign/Urbana,IL,-6
[CHI],41.9,87.65,Chicago,IL,-6
[CGX],41.87,87.62,Chicago/Meigs,IL,-6
[MDW],41.78,87.75,Chicago/Midway,IL,-6
[ORD],41.98,87.9,Chicago/O'hare,IL,-6
[DNV],40.2,87.6,Danville,IL,-6
[DKB],41.93,88.72,DeKalb,IL,-6
[DEC],39.83,88.87,Decatur,IL,-6
[DPA],41.92,88.25,Du Page,IL,-6
[GBG],40.93,90.43,Galesburg,IL,-6
[NBU],42.08,87.82,Glenview NAS,IL,-6
[IKK],41.07,87.85,Kankakee,IL,-6
[MQB],40.52,90.66,Macomb,IL,-6
[MWA],37.75,89,Marion,IL,-6
[MMO],41.37,88.68,Marseilles,IL,-6
[MTO],39.48,88.28,Mattoon,IL,-6
[MLI],41.45,90.52,Moline/Quad,IL,-6
[MVN],38.32,88.86,Mount Vernon,IL,-6
[PIA],40.67,89.68,Peoria,IL,-6
[UIN],39.93,91.2,Quincy,IL,-6
[RFD],42.2,89.1,Rockford,IL,-6
[SLO],38.63,88.96,Salem,IL,-6
[BLV],38.55,89.85,Scott AFB,IL,-6
[SPI],39.85,89.67,Springfield,IL,-6
[SQI],41.74,89.67,Sterling,IL,-6
[TAZ],39.53,89.33,Taylorville,IL,-6
[VLA],38.99,89.17,Vandalia,IL,-6
[BAK],39.38,86.5,Bakalar Af,IN,-5
[BMG],39.13,86.62,Bloomington,IN,-5
[EKM],41.72,86,Elkhart,IN,-5
[EVV],38.05,87.53,Evansville,IN,-5
